"","Geo Level","State","State ANSI","Measure","Bearing Type","Domain","size_bracket","Value","CV (%)"
"1","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",963,"5.6"
"2","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",3195,"5.9"
"3","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(100 OR MORE ACRES)",46265,"25.3"
"4","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",2514,"20.0"
"5","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",4231,"13.0"
"6","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",3396,"8.6"
"7","NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",10146,"50.5"
"8","NATIONAL","US TOTAL",NA,"ACRES","BEARING","TOTAL","TOTAL",70709,"15.4"
"9","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",1199,"6.2"
"10","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",3729,"5.3"
"11","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(100 OR MORE ACRES)",46931,"25.0"
"12","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",2758,"19.1"
"13","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",4441,"12.7"
"14","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",3942,"7.9"
"15","NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",10461,"47.6"
"16","NATIONAL","US TOTAL",NA,"ACRES","GROWN","TOTAL","TOTAL",73462,"15.3"
"17","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",236,"13.2"
"18","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",535,"5.1"
"19","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",666,"4.2"
"20","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",244,"34.1"
"21","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",210,"37.3"
"22","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",547,"9.9"
"23","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",315,"(H)"
"24","NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","TOTAL","TOTAL",2753,"15.5"
"25","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",4690,"6.4"
"26","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",1812,"6.1"
"27","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(100 OR MORE ACRES)",161,"25.4"
"28","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",146,"17.2"
"29","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",131,"11.9"
"30","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",510,"7.3"
"31","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",146,"44.0"
"32","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","TOTAL","TOTAL",7596,"5.7"
"33","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",5508,"7.0"
"34","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",1884,"5.7"
"35","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",161,"25.4"
"36","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",147,"18.3"
"37","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",131,"11.9"
"38","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",514,"7.3"
"39","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",146,"44.0"
"40","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA GROWN","TOTAL","TOTAL",8491,"5.8"
"41","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",1270,"13.7"
"42","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",562,"6.4"
"43","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",17,"27.9"
"44","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",43,"19.0"
"45","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",22,"40.9"
"46","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",200,"8.2"
"47","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",16,"72.6"
"48","NATIONAL","US TOTAL",NA,"OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",2130,"8.4"
"49","STATE","ALABAMA","01","ACRES","BEARING","TOTAL","TOTAL",162,"16.9"
"50","STATE","ALABAMA","01","ACRES","GROWN","TOTAL","TOTAL",171,"17.5"
"51","STATE","ALABAMA","01","ACRES","NON-BEARING","TOTAL","TOTAL",9,"80.0"
"52","STATE","ALABAMA","01","OPERATIONS","AREA BEARING","TOTAL","TOTAL",107,"19.7"
"53","STATE","ALABAMA","01","OPERATIONS","AREA GROWN","TOTAL","TOTAL",119,"17.5"
"54","STATE","ALABAMA","01","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",18,"26.9"
"55","STATE","ALASKA","02","ACRES","BEARING","TOTAL","TOTAL",11,"(L)"
"56","STATE","ALASKA","02","ACRES","GROWN","TOTAL","TOTAL",14,"(L)"
"57","STATE","ALASKA","02","ACRES","NON-BEARING","TOTAL","TOTAL",3,"(L)"
"58","STATE","ALASKA","02","OPERATIONS","AREA BEARING","TOTAL","TOTAL",45,"(L)"
"59","STATE","ALASKA","02","OPERATIONS","AREA GROWN","TOTAL","TOTAL",50,"(L)"
"60","STATE","ALASKA","02","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",8,"(L)"
"61","STATE","ARIZONA","04","ACRES","BEARING","TOTAL","TOTAL",3,"29.4"
"62","STATE","ARIZONA","04","ACRES","GROWN","TOTAL","TOTAL",4,"33.8"
"63","STATE","ARIZONA","04","ACRES","NON-BEARING","TOTAL","TOTAL",1,"93.3"
"64","STATE","ARIZONA","04","OPERATIONS","AREA BEARING","TOTAL","TOTAL",16,"25.8"
"65","STATE","ARIZONA","04","OPERATIONS","AREA GROWN","TOTAL","TOTAL",24,"15.8"
"66","STATE","ARIZONA","04","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",9,"38.0"
"67","STATE","ARKANSAS","05","ACRES","BEARING","TOTAL","TOTAL",116,"33.4"
"68","STATE","ARKANSAS","05","ACRES","GROWN","TOTAL","TOTAL",128,"33.0"
"69","STATE","ARKANSAS","05","ACRES","NON-BEARING","TOTAL","TOTAL",12,"42.1"
"70","STATE","ARKANSAS","05","OPERATIONS","AREA BEARING","TOTAL","TOTAL",71,"36.0"
"71","STATE","ARKANSAS","05","OPERATIONS","AREA GROWN","TOTAL","TOTAL",80,"35.7"
"72","STATE","ARKANSAS","05","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",24,"34.2"
"73","STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",356.5,"(D)"
"74","STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",138,"(H)"
"75","STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(100 OR MORE ACRES)",35019,"32.5"
"76","STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",356.5,"(D)"
"77","STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",1699,"31.0"
"78","STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",370,"31.6"
"79","STATE","CALIFORNIA","06","ACRES","BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",8154,"68.4"
"80","STATE","CALIFORNIA","06","ACRES","BEARING","TOTAL","TOTAL",46093,"21.8"
"81","STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",46,"45.6"
"82","STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",165,"91.9"
"83","STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(100 OR MORE ACRES)",35457,"32.1"
"84","STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",676,"42.5"
"85","STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",1736,"30.8"
"86","STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",409,"31.8"
"87","STATE","CALIFORNIA","06","ACRES","GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",8323,"65.6"
"88","STATE","CALIFORNIA","06","ACRES","GROWN","TOTAL","TOTAL",46813,"21.9"
"89","STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",4,"(D)"
"90","STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",27,"23.5"
"91","STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",438,"6.4"
"92","STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",4,"(D)"
"93","STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",38,"83.7"
"94","STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",40,"52.1"
"95","STATE","CALIFORNIA","06","ACRES","NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",169,"(H)"
"96","STATE","CALIFORNIA","06","ACRES","NON-BEARING","TOTAL","TOTAL",720,"50.2"
"97","STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",189,"39.6"
"98","STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",74,"98.6"
"99","STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(100 OR MORE ACRES)",114,"34.3"
"100","STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",36,"43.5"
"101","STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",47,"27.1"
"102","STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",52,"29.4"
"103","STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",114,"63.8"
"104","STATE","CALIFORNIA","06","OPERATIONS","AREA BEARING","TOTAL","TOTAL",626,"26.9"
"105","STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",212,"42.6"
"106","STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",76,"93.5"
"107","STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",114,"34.3"
"108","STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",36,"43.5"
"109","STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",47,"27.1"
"110","STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",52,"29.4"
"111","STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",114,"63.8"
"112","STATE","CALIFORNIA","06","OPERATIONS","AREA GROWN","TOTAL","TOTAL",651,"27.8"
"113","STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",32,"92.0"
"114","STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",22,"39.5"
"115","STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",10,"47.4"
"116","STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",1,"(H)"
"117","STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",3,"83.7"
"118","STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",9,"68.3"
"119","STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",8,"77.8"
"120","STATE","CALIFORNIA","06","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",85,"58.8"
"121","STATE","COLORADO","08","ACRES","BEARING","TOTAL","TOTAL",10,"73.5"
"122","STATE","COLORADO","08","ACRES","GROWN","TOTAL","TOTAL",30,"47.0"
"123","STATE","COLORADO","08","ACRES","NON-BEARING","TOTAL","TOTAL",20,"59.7"
"124","STATE","COLORADO","08","OPERATIONS","AREA BEARING","TOTAL","TOTAL",39,"18.2"
"125","STATE","COLORADO","08","OPERATIONS","AREA GROWN","TOTAL","TOTAL",64,"18.8"
"126","STATE","COLORADO","08","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",27,"26.5"
"127","STATE","CONNECTICUT","09","ACRES","BEARING","TOTAL","TOTAL",119,"22.7"
"128","STATE","CONNECTICUT","09","ACRES","GROWN","TOTAL","TOTAL",156,"18.6"
"129","STATE","CONNECTICUT","09","ACRES","NON-BEARING","TOTAL","TOTAL",37,"8.6"
"130","STATE","CONNECTICUT","09","OPERATIONS","AREA BEARING","TOTAL","TOTAL",97,"17.2"
"131","STATE","CONNECTICUT","09","OPERATIONS","AREA GROWN","TOTAL","TOTAL",128,"15.9"
"132","STATE","CONNECTICUT","09","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",44,"19.4"
"133","STATE","DELAWARE","10","ACRES","BEARING","TOTAL","TOTAL",0,"(D)"
"134","STATE","DELAWARE","10","ACRES","GROWN","TOTAL","TOTAL",27,"5.3"
"135","STATE","DELAWARE","10","ACRES","NON-BEARING","TOTAL","TOTAL",0,"(D)"
"136","STATE","DELAWARE","10","OPERATIONS","AREA BEARING","TOTAL","TOTAL",14,"46.0"
"137","STATE","DELAWARE","10","OPERATIONS","AREA GROWN","TOTAL","TOTAL",16,"40.2"
"138","STATE","DELAWARE","10","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",5,"37.9"
"139","STATE","FLORIDA","12","ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",8,"76.1"
"140","STATE","FLORIDA","12","ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",3486.33,"(D)"
"141","STATE","FLORIDA","12","ACRES","BEARING","AREA GROWN","(100 OR MORE ACRES)",3486.33,"(D)"
"142","STATE","FLORIDA","12","ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",3486.33,"(D)"
"143","STATE","FLORIDA","12","ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",1414,"27.7"
"144","STATE","FLORIDA","12","ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",131,"22.2"
"145","STATE","FLORIDA","12","ACRES","BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",1401,"33.5"
"146","STATE","FLORIDA","12","ACRES","BEARING","TOTAL","TOTAL",13413,"5.9"
"147","STATE","FLORIDA","12","ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",8,"76.1"
"148","STATE","FLORIDA","12","ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",180,"20.1"
"149","STATE","FLORIDA","12","ACRES","GROWN","AREA GROWN","(100 OR MORE ACRES)",9938,"(L)"
"150","STATE","FLORIDA","12","ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",469,"59.9"
"151","STATE","FLORIDA","12","ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",1459,"25.0"
"152","STATE","FLORIDA","12","ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",131,"22.2"
"153","STATE","FLORIDA","12","ACRES","GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",1478,"32.4"
"154","STATE","FLORIDA","12","ACRES","GROWN","TOTAL","TOTAL",13663,"5.5"
"155","STATE","FLORIDA","12","ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",42.67,"(D)"
"156","STATE","FLORIDA","12","ACRES","NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",42.67,"(D)"
"157","STATE","FLORIDA","12","ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",42.67,"(D)"
"158","STATE","FLORIDA","12","ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",45,"(H)"
"159","STATE","FLORIDA","12","ACRES","NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",76,"13.4"
"160","STATE","FLORIDA","12","ACRES","NON-BEARING","TOTAL","TOTAL",249,"23.3"
"161","STATE","FLORIDA","12","OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)",54,"33.2"
"162","STATE","FLORIDA","12","OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",82,"21.1"
"163","STATE","FLORIDA","12","OPERATIONS","AREA BEARING","AREA GROWN","(100 OR MORE ACRES)",38,"(L)"
"164","STATE","FLORIDA","12","OPERATIONS","AREA BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",22,"59.0"
"165","STATE","FLORIDA","12","OPERATIONS","AREA BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",43,"22.5"
"166","STATE","FLORIDA","12","OPERATIONS","AREA BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)",19,"18.7"
"167","STATE","FLORIDA","12","OPERATIONS","AREA BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",22,"41.1"
"168","STATE","FLORIDA","12","OPERATIONS","AREA BEARING","TOTAL","TOTAL",280,"12.6"
"169","STATE","FLORIDA","12","OPERATIONS","AREA GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)",54,"33.2"
"170","STATE","FLORIDA","12","OPERATIONS","AREA GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)",82,"21.1"
"171","STATE","FLORIDA","12","OPERATIONS","AREA GROWN","AREA GROWN","(100 OR MORE ACRES)",38,"(L)"
"172","STATE","FLORIDA","12","OPERATIONS","AREA GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)",22,"59.0"
"173","STATE","FLORIDA","12","OPERATIONS","AREA GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)",43,"22.5"
"174","STATE","FLORIDA","12","OPERATIONS","AREA GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)",19,"18.7"
"175","STATE","FLORIDA","12","OPERATIONS","AREA GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)",22,"41.1"
"176","STATE","FLORIDA","12","OPERATIONS","AREA GROWN","TOTAL","TOTAL",280,"12.6"
"177","STATE","FLORIDA","12","OPERATIONS","AREA NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)",2,"82.2"
"178","STATE","FLORIDA","12","OPERATIONS","AREA NON-BEARING","AREA GROWN","(100 OR MORE ACRES)",4,"(L)"
"179","STATE","FLORIDA","12","OPERATIONS","AREA NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)",3,"(H)"
"180","STATE","FLORIDA","12","OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)",3,"(H)"
"181","STATE","FLORIDA","12","OPERATIONS","AREA NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)",5,"68.4"
"182","STATE","FLORIDA","12","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",17,"31.6"
"183","STATE","GEORGIA","13","ACRES","BEARING","TOTAL","TOTAL",249,"13.0"
"184","STATE","GEORGIA","13","ACRES","GROWN","TOTAL","TOTAL",269,"12.7"
"185","STATE","GEORGIA","13","ACRES","NON-BEARING","TOTAL","TOTAL",21,"31.0"
"186","STATE","GEORGIA","13","OPERATIONS","AREA BEARING","TOTAL","TOTAL",121,"16.0"
"187","STATE","GEORGIA","13","OPERATIONS","AREA GROWN","TOTAL","TOTAL",150,"18.6"
"188","STATE","GEORGIA","13","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",41,"31.0"
"189","STATE","HAWAII","15","ACRES","BEARING","TOTAL","TOTAL",0,"(D)"
"190","STATE","HAWAII","15","ACRES","GROWN","TOTAL","TOTAL",10,"2.9"
"191","STATE","HAWAII","15","ACRES","NON-BEARING","TOTAL","TOTAL",0,"(D)"
"192","STATE","HAWAII","15","OPERATIONS","AREA BEARING","TOTAL","TOTAL",8,"29.0"
"193","STATE","HAWAII","15","OPERATIONS","AREA GROWN","TOTAL","TOTAL",11,"27.3"
"194","STATE","HAWAII","15","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",4,"33.5"
"195","STATE","IDAHO","16","ACRES","BEARING","TOTAL","TOTAL",30,"22.8"
"196","STATE","IDAHO","16","ACRES","GROWN","TOTAL","TOTAL",32,"22.5"
"197","STATE","IDAHO","16","ACRES","NON-BEARING","TOTAL","TOTAL",1,"29.2"
"198","STATE","IDAHO","16","OPERATIONS","AREA BEARING","TOTAL","TOTAL",72,"15.4"
"199","STATE","IDAHO","16","OPERATIONS","AREA GROWN","TOTAL","TOTAL",78,"14.4"
"200","STATE","IDAHO","16","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",10,"34.2"
"201","STATE","ILLINOIS","17","ACRES","BEARING","TOTAL","TOTAL",175,"13.7"
"202","STATE","ILLINOIS","17","ACRES","GROWN","TOTAL","TOTAL",208,"11.7"
"203","STATE","ILLINOIS","17","ACRES","NON-BEARING","TOTAL","TOTAL",33,"5.4"
"204","STATE","ILLINOIS","17","OPERATIONS","AREA BEARING","TOTAL","TOTAL",154,"14.1"
"205","STATE","ILLINOIS","17","OPERATIONS","AREA GROWN","TOTAL","TOTAL",184,"12.7"
"206","STATE","ILLINOIS","17","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",52,"15.4"
"207","STATE","INDIANA","18","ACRES","BEARING","TOTAL","TOTAL",220,"7.1"
"208","STATE","INDIANA","18","ACRES","GROWN","TOTAL","TOTAL",262,"7.3"
"209","STATE","INDIANA","18","ACRES","NON-BEARING","TOTAL","TOTAL",41,"10.2"
"210","STATE","INDIANA","18","OPERATIONS","AREA BEARING","TOTAL","TOTAL",223,"12.1"
"211","STATE","INDIANA","18","OPERATIONS","AREA GROWN","TOTAL","TOTAL",248,"10.7"
"212","STATE","INDIANA","18","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",47,"17.7"
"213","STATE","IOWA","19","ACRES","BEARING","TOTAL","TOTAL",144,"16.8"
"214","STATE","IOWA","19","ACRES","GROWN","TOTAL","TOTAL",169,"18.2"
"215","STATE","IOWA","19","ACRES","NON-BEARING","TOTAL","TOTAL",25,"33.8"
"216","STATE","IOWA","19","OPERATIONS","AREA BEARING","TOTAL","TOTAL",126,"19.5"
"217","STATE","IOWA","19","OPERATIONS","AREA GROWN","TOTAL","TOTAL",145,"18.8"
"218","STATE","IOWA","19","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL",36,"24.0"
"219","STATE","KANSAS","20","ACRES","BEARING","TOTAL","TOTAL",27,"24.0"
"220","STATE","KANSAS","20","ACRES","GROWN","TOTAL","TOTAL",32,"21.8"
"221","STATE","KANSAS","20","ACRES","NON-BEARING","TOTAL","TOTAL",5,"39.3"
